id;Instance name;Algorithm design;System;DOI / url
101;101_medium_existing_workflow;Business processes;A Social Force-Based Model for Pedestrian Evacuation with Static Guidance in Emergency Situations;https://doi.org/10.3390/fire8010030
102;102_medium_existing_workflow;Business processes;AR-Rescue;https://doi.org/10.1109/ICDH67620.2025.00036
103;103_medium_existing_workflow;Autonomous vehicles;Validation of business process models using swimlane diagrams;https://corescholar.libraries.wright.edu/infosys_scm/114/
104;104_medium_existing_workflow;Autonomous vehicles;Autonomous Car Implementation Based on CAN Bus Protocol for IoT Applications;http://dx.doi.org/10.1109/ICCES.2018.8639206
105;105_medium_existing_workflow;Measuring of environmental parameters;An integrated fire detection system using IoT and image processing technique for smart cities;https://doi.org/10.1016/j.scs.2020.102332
106;106_medium_existing_workflow;Critical system;A Low-Cost Home Automation System Based-On Internet of Things;https://jtec.utem.edu.my/jtec/article/view/2379
107;107_medium_existing_workflow;Critical system;Critical system 2;Source anonymized
108;108_medium_existing_workflow;Critical system;Critical system 3;Source anonymized
109;109_medium_existing_workflow;Smart city;Critical system 7;Source anonymized
110;110_medium_existing_workflow;Localization;A qualitative exploration of patient flow in a developing Caribbean emergency department;https://doi.org/10.1101/2020.05.29.20110759
111;111_medium_existing_workflow;Smart agriculture;Towards Autonomy in Agriculture: Design and Prototyping of a Robotic Vehicle with Seed Selector;http://dx.doi.org/10.1109/ICRAI.2016.7791225
112;112_medium_existing_workflow;Digitalized state administration;Tool support for verifying UML activity diagrams;https://doi.org/10.1109/TSE.2004.33
201;201_hard_existing_workflow;Critical system;Critical system 1;Source anonymized
202;202_hard_existing_workflow;Critical system;Critical system 6;Source anonymized
